purpose_text,transaction_type
family dollar,Shopping & Retail
neiman marcus,Shopping & Retail
best buy holiday,Shopping & Retail
walgreens,Shopping & Retail
consolidated communications,Utilities & Services
american airlines store,Transportation
dividend,Income
united way australia,Charity & Donations
fiber india store,Utilities & Services
fundraising  hospital,Charity & Donations
suntrust  store center,Financial Services
dsl canada store,Utilities & Services
us bank  australia branch,Financial Services
raising canes,Food & Dining
homeless shelter ,Charity & Donations
walmart  branch,Shopping & Retail
national  weekend,Transportation
cargo india,Transportation
first national morning,Financial Services
gift ,Charity & Donations
united ,Transportation
aspca  canada store center rush hour,Charity & Donations
notary  uk weekend,Government & Legal
phone company store,Utilities & Services
consulting uk,Income
chiropractor,Healthcare & Medical
greyhound ,Transportation
qdoba store holiday,Food & Dining
congress,Government & Legal
nyu langone branch hospital,Healthcare & Medical
noodles company holiday,Food & Dining
gofundme ,Charity & Donations
chipotle ,Food & Dining
getaround store lunch time,Transportation
dollar  weekend,Transportation
five guys,Food & Dining
barneys new york store lunch time,Shopping & Retail
peta  dinner time,Charity & Donations
pediatrician txn,Healthcare & Medical
planet fitness dinner time,Entertainment & Recreation
gym  india,Entertainment & Recreation
retirement txn,Financial Services
 hour fitness india,Entertainment & Recreation
carls jr store,Food & Dining
medicare,Government & Legal
orange theory,Entertainment & Recreation
capital one ,Financial Services
directv,Utilities & Services
pediatrician ,Healthcare & Medical
animal shelter,Charity & Donations
mbta,Transportation
whataburger ,Food & Dining
swimming pool,Entertainment & Recreation
aspca rush hour,Charity & Donations
first national australia,Financial Services
lowes weekend,Shopping & Retail
swimming pool  center dinner time,Entertainment & Recreation
registration weekday,Government & Legal
centurylink store branch center,Utilities & Services
fbi  canada,Government & Legal
megabus ,Transportation
metro shopping center,Transportation
crunch fitness australia,Entertainment & Recreation
unemployment weekday,Income
reimbursement,Income
turo,Transportation
costco,Shopping & Retail
church store,Charity & Donations
kroger pharmacy branch,Healthcare & Medical
five guys store txn,Food & Dining
water park ,Entertainment & Recreation
social security,Income
wage australia,Income
bank airport,Financial Services
freelance australia,Income
xfinity,Utilities & Services
ngo usa mall,Charity & Donations
lab ,Healthcare & Medical
registration,Government & Legal
oxfam txn,Charity & Donations
charter ,Utilities & Services
freelance branch,Income
jimmy johns ,Food & Dining
court ,Government & Legal
anytime fitness  store dinner time,Entertainment & Recreation
frontier txn,Utilities & Services
broadband evening,Utilities & Services
xray,Healthcare & Medical
amazon usa hospital,Shopping & Retail
white castle store branch,Food & Dining
disney+ store,Entertainment & Recreation
chipotle  txn,Food & Dining
freelance,Income
cable internet  evening,Utilities & Services
retirement ,Financial Services
pilates,Entertainment & Recreation
aspca txn,Charity & Donations
lyft hospital,Transportation
target uk,Food & Dining
innout  txn,Food & Dining
cable company txn,Utilities & Services
contract work,Income
apple store ,Shopping & Retail
theme park mall,Entertainment & Recreation
macys,Shopping & Retail
community bank,Financial Services
freelance,Income
mobile branch,Utilities & Services
nyu langone,Healthcare & Medical
loan,Financial Services
quiznos  txn,Food & Dining
noodles company usa branch,Food & Dining
subway store,Food & Dining
fiber,Utilities & Services
freelance,Income
cable company center,Utilities & Services
specialist branch,Healthcare & Medical
spotify ,Entertainment & Recreation
keybank,Financial Services
reimbursement,Income
occupational therapy,Healthcare & Medical
boltbus branch,Transportation
parking branch,Transportation
blimpie india downtown,Food & Dining
clinic,Healthcare & Medical
clinic  store,Healthcare & Medical
starbucks canada lunch time,Food & Dining
church store,Charity & Donations
fbi branch downtown,Government & Legal
starbucks,Food & Dining
panera bread store,Food & Dining
potbelly lunch time,Food & Dining
income,Income
clinic,Healthcare & Medical
investment bank uk branch,Financial Services
medicare,Government & Legal
visa ,Government & Legal
ngo  store,Charity & Donations
insurance  txn,Financial Services
community center store,Charity & Donations
childrens hospital  store branch,Healthcare & Medical
direct deposit center,Income
phone company,Utilities & Services
charter  canada hospital,Utilities & Services
customs,Government & Legal
turo ,Transportation
cold stone creamery branch,Food & Dining
greenpeace txn,Charity & Donations
humane society,Charity & Donations
regions bank afternoon,Financial Services
temple store,Charity & Donations
dental,Healthcare & Medical
cardiologist hospital,Healthcare & Medical
license  store strip mall,Government & Legal
optimum usa store,Utilities & Services
salary 6323 center txn204997,Income
marshalls  branch,Shopping & Retail
greyhound ,Transportation
cinema ,Entertainment & Recreation
canes,Food & Dining
innout,Food & Dining
cvs store,Healthcare & Medical
bloomingdales,Shopping & Retail
urgent care,Healthcare & Medical
centurylink store branch,Utilities & Services
county clerk  branch hospital,Government & Legal
mediacom branch txn,Utilities & Services
dairy queen store station,Food & Dining
rite aid  store txn,Healthcare & Medical
wow  branch station,Utilities & Services
hardees,Food & Dining
carnival downtown,Entertainment & Recreation
lowes ,Shopping & Retail
mayo clinic ,Healthcare & Medical
saks off th  australia,Shopping & Retail
government  usa,Government & Legal
belk,Shopping & Retail
cedarssinai ,Healthcare & Medical
salary branch morning,Income
disability 8198 center,Income
crunch fitness  australia night,Entertainment & Recreation
olive garden weekend,Food & Dining
bbt australia,Financial Services
unemployment australia,Income
avis ,Transportation
gig work shopping center,Income
vacation pay afternoon,Income
ski resort ,Entertainment & Recreation
temple usa,Charity & Donations
tmobile  australia center,Utilities & Services
oxfam weekday,Charity & Donations
trader joes,Food & Dining
congress,Government & Legal
windstream uk,Utilities & Services
ulta weekday,Shopping & Retail
von maur campus,Shopping & Retail
unicef txn,Charity & Donations
nordstrom rack ,Shopping & Retail
bart lunch time,Transportation
wifi,Utilities & Services
dairy queen india station,Food & Dining
google fiber,Utilities & Services
cable one australia holiday,Utilities & Services
surgery,Healthcare & Medical
spectrum ,Utilities & Services
dunkin donuts,Food & Dining
theater ,Entertainment & Recreation
cinemark,Entertainment & Recreation
goodwill,Charity & Donations
urgent care  canada txn,Healthcare & Medical
pediatrician australia,Healthcare & Medical
white castle canada store dinner time,Food & Dining
metro store,Transportation
pharmacy  lunch time,Healthcare & Medical
verizon,Utilities & Services
salary 5328,Income
highway patrol morning,Government & Legal
visa,Government & Legal
donation,Charity & Donations
consolidated communications ,Utilities & Services
side hustle uk,Income
pediatrician airport,Healthcare & Medical
septa ,Transportation
wells fargo,Financial Services
cold stone creamery ,Food & Dining
dairy queen  india store,Food & Dining
swimming pool  txn,Entertainment & Recreation
cargo store,Transportation
uniqlo morning,Shopping & Retail
credit union store,Financial Services
mcdonalds,Food & Dining
national center holiday,Transportation
potbelly  morning,Food & Dining
unicef  india,Charity & Donations
staples ,Shopping & Retail
cable one,Utilities & Services
bus ,Transportation
burlington branch,Shopping & Retail
salary australia store,Income
pizza hut  uk afternoon,Food & Dining
permit,Government & Legal
consolidated communications,Utilities & Services
lord taylor,Shopping & Retail
thrifty,Transportation
service ,Government & Legal
home depot,Shopping & Retail
safeway pharmacy ,Healthcare & Medical
national ,Transportation
keybank branch center,Financial Services
church  residential,Charity & Donations
citibank txn,Financial Services
capital gains,Income
cleveland clinic ,Healthcare & Medical
nike canada,Shopping & Retail
bus  strip mall,Transportation
orthopedist usa store,Healthcare & Medical
bbt india,Financial Services
rallys,Food & Dining
temple ,Charity & Donations
uber store night,Transportation
credit usa store,Income
clinic,Healthcare & Medical
att usa weekday,Utilities & Services
exxon,Transportation
senate branch,Government & Legal
aspca dinner time,Charity & Donations
surgery store,Healthcare & Medical
ski resort ,Entertainment & Recreation
dividend,Income
federal building  australia,Government & Legal
commission,Income
walmart supercenter,Food & Dining
brigham and womens store,Healthcare & Medical
convention center,Entertainment & Recreation
big lots  shopping center,Shopping & Retail
offering strip mall,Charity & Donations
fire department ,Government & Legal
bojangles store business district,Food & Dining
water company,Utilities & Services
fedex office,Shopping & Retail
bmo harris,Financial Services
marta ,Transportation
citibank ,Financial Services
mass general,Healthcare & Medical
fiber,Utilities & Services
fbi store hospital,Government & Legal
mediacom,Utilities & Services
commission,Income
wells fargo,Financial Services
cedarssinai,Healthcare & Medical
saks fifth avenue store,Shopping & Retail
loan  store,Financial Services
municipal building,Government & Legal
lord taylor  india,Shopping & Retail
stock ,Financial Services
dsl,Utilities & Services
regions bank  branch,Financial Services
national parks  residential,Charity & Donations
dental store,Healthcare & Medical
train,Transportation
rite aid hospital,Healthcare & Medical
tennis court center,Entertainment & Recreation
cargo,Transportation
boltbus store,Transportation
thrifty campus,Transportation
avis  store downtown,Transportation
wendys,Food & Dining
neiman marcus branch,Shopping & Retail
government ,Government & Legal
target  store,Food & Dining
business wifi store branch txn,Utilities & Services
mt bank  australia,Financial Services
spectrum shopping center,Utilities & Services
walmart pharmacy store,Healthcare & Medical
belk,Shopping & Retail
mini golf,Entertainment & Recreation
post office,Government & Legal
youth organization center,Charity & Donations
dollar tree australia,Shopping & Retail
gig work 6530,Income
barneys new york ,Shopping & Retail
parttime,Income
cvs store,Shopping & Retail
gofundme uk,Charity & Donations
taxi,Transportation
wifi,Utilities & Services
world vision branch,Charity & Donations
johns hopkins ,Healthcare & Medical
mini golf,Entertainment & Recreation
brokerage ,Financial Services
eye care,Healthcare & Medical
raising canes australia store center txn,Food & Dining
centurylink dinner time,Utilities & Services
museum,Entertainment & Recreation
salary uk,Income
legal txn,Government & Legal
visa,Government & Legal
youth organization txn,Charity & Donations
neurologist  store,Healthcare & Medical
best buy ,Shopping & Retail
rental income business district,Income
xfinity,Utilities & Services
sephora,Shopping & Retail
crossfit usa,Entertainment & Recreation
tennis court,Entertainment & Recreation
oxfam ,Charity & Donations
bank of america residential,Financial Services
visa branch residential,Government & Legal
att,Utilities & Services
target store,Food & Dining
shake shack ,Food & Dining
temple store,Charity & Donations
festival center txn,Entertainment & Recreation
bmo harris  store txn,Financial Services
cox,Utilities & Services
quiznos,Food & Dining
dermatologist ,Healthcare & Medical
tennis court store,Entertainment & Recreation
fire department,Government & Legal
registration,Government & Legal
fundraising center,Charity & Donations
zaxbys ,Food & Dining
white house  txn,Government & Legal
wwf ,Charity & Donations
ambulance,Government & Legal
huntington bank,Financial Services
cia india branch txn,Government & Legal
spectrum txn,Utilities & Services
rock climbing  usa,Entertainment & Recreation
veterans organization,Charity & Donations
highway patrol ,Government & Legal
nordstrom branch,Shopping & Retail
tax ,Government & Legal
trader joes ,Food & Dining
fifth third,Financial Services
fundraising,Charity & Donations
dermatologist downtown,Healthcare & Medical
whole foods ,Food & Dining
irs,Government & Legal
hm  uk,Shopping & Retail
orthopedist,Healthcare & Medical
centurylink ,Utilities & Services
irs,Government & Legal
zoo ,Entertainment & Recreation
walgreens ,Healthcare & Medical
mass general,Healthcare & Medical
marta store,Transportation
atm  morning,Financial Services
clinic india,Healthcare & Medical
lab shopping center,Healthcare & Medical
urgent care,Healthcare & Medical
theater,Entertainment & Recreation
mbta canada store txn,Transportation
sixt center,Transportation
childrens hospital,Healthcare & Medical
gofundme,Charity & Donations
jimmy johns ,Food & Dining
irs,Government & Legal
fire department,Government & Legal
theater store holiday,Entertainment & Recreation
suntrust ,Financial Services
wwf branch weekend,Charity & Donations
psychiatrist australia hospital,Healthcare & Medical
aspca airport,Charity & Donations
kfc canada,Food & Dining
payroll,Income
youtube campus,Entertainment & Recreation
stanford health  center,Healthcare & Medical
holiday pay,Income
church dinner time,Charity & Donations
sick pay,Income
first national shopping center,Financial Services
walkin clinic  usa,Healthcare & Medical
festival,Entertainment & Recreation
nordstrom rack ,Shopping & Retail
wifi hotspot,Utilities & Services
service ,Government & Legal
gofundme ,Charity & Donations
stock ,Financial Services
spca  australia,Charity & Donations
regal  usa,Entertainment & Recreation
transfer,Financial Services
zipcar txn,Transportation
national parks australia,Charity & Donations
sierra club,Charity & Donations
mt bank,Financial Services
tmobile canada downtown,Utilities & Services
registration ,Government & Legal
chickfila afternoon,Food & Dining
county clerk store,Government & Legal
water park,Entertainment & Recreation
medicare australia,Government & Legal
 hour fitness hospital,Entertainment & Recreation
train,Transportation
payroll 5133 usa,Income
ski resort,Entertainment & Recreation
arcade,Entertainment & Recreation
viasat,Utilities & Services
veterans organization store branch,Charity & Donations
 hour fitness  branch,Entertainment & Recreation
crossfit ,Entertainment & Recreation
insurance,Financial Services
gas company  canada store,Utilities & Services
subway ,Food & Dining
costco txn,Shopping & Retail
canes ,Food & Dining
town hall hospital,Government & Legal
la fitness,Entertainment & Recreation
costco txn,Shopping & Retail
google fiber weekday,Utilities & Services
best buy,Shopping & Retail
stock,Financial Services
allegiant  usa store afternoon,Transportation
wendys,Food & Dining
secret service,Government & Legal
american airlines branch,Transportation
mortgage  india txn,Financial Services
olive garden,Food & Dining
rallys store lunch time,Food & Dining
county clerk,Government & Legal
side hustle downtown,Income
chase txn,Financial Services
investment bank usa,Financial Services
internet provider business district,Utilities & Services
frontier usa,Utilities & Services
kroger pharmacy shopping center,Healthcare & Medical
specialist strip mall,Healthcare & Medical
fundraising store,Charity & Donations
greyhound ,Transportation
fifth third station,Financial Services
salvation army  branch,Charity & Donations
salvation army ,Charity & Donations
dominos,Food & Dining
wage 9174,Income
business wifi,Utilities & Services
hughesnet  canada business district,Utilities & Services
budget weekday,Transportation
canes branch holiday,Food & Dining
american airlines,Transportation
electric company india station,Utilities & Services
chevron store,Transportation
immigration,Government & Legal
hm ,Shopping & Retail
tsa  lunch time,Government & Legal
alamo ,Transportation
neiman marcus india store branch,Shopping & Retail
greenpeace,Charity & Donations
reachnow usa store,Transportation
septa india store txn,Transportation
officemax,Shopping & Retail
keybank ,Financial Services
gokart ,Entertainment & Recreation
salary 1772,Income
social security,Government & Legal
zoo store,Entertainment & Recreation
cinema lunch time,Entertainment & Recreation
salary shopping center,Income
ups store  store mall,Shopping & Retail
disability 6029 usa,Income
charity,Charity & Donations
chiropractor airport,Healthcare & Medical
nature conservancy  australia,Charity & Donations
alaska airlines  india,Transportation
crossfit,Entertainment & Recreation
sparklight,Utilities & Services
court campus,Government & Legal
stanford health ,Healthcare & Medical
specialist,Healthcare & Medical
ski resort  australia branch,Entertainment & Recreation
rite aid rush hour,Healthcare & Medical
cox  lunch time,Utilities & Services
walgreens,Healthcare & Medical
staples  store center,Shopping & Retail
state police ,Government & Legal
amc txn,Entertainment & Recreation
ucsf medical,Healthcare & Medical
donation  store center,Charity & Donations
delta morning,Transportation
ngo,Charity & Donations
windstream hospital,Utilities & Services
mutual fund,Financial Services
trader joes ,Food & Dining
walgreens canada hospital,Shopping & Retail
youtube  uk store,Entertainment & Recreation
irs center txn,Government & Legal
trader joes business district,Food & Dining
cable internet weekday,Utilities & Services
blood test  txn,Healthcare & Medical
congress store,Government & Legal
pure barre  store,Entertainment & Recreation
jetblue,Transportation
carnival weekday,Entertainment & Recreation
taco bell morning,Food & Dining
costco,Shopping & Retail
dermatologist,Healthcare & Medical
arbys hospital,Food & Dining
neurologist  afternoon,Healthcare & Medical
barneys new york ,Shopping & Retail
trader joes branch,Food & Dining
annuity canada store,Income
gokart dinner time,Entertainment & Recreation
charter  india,Utilities & Services
big lots india txn,Shopping & Retail
panda express  holiday,Food & Dining
